job_name,company_name,city,area_code_name,industry,salary_min,salary_max,salary_avg,degree,head_count,company_size,company_property,major,skills,publish_date,update_date,job_id,recruit_type,source,keyword,degree_clean,degree_level,salary_level,combined_text,skill_keywords,job_direction,is_high_salary
基础研发工程师,浙江永贵电器股份有限公司,台州,浙江,,8000.0,10000.0,9000.0,硕士及以上,4,1000-4999人,上市公司,机械设计及其自动化 机械设计 机械工程 机械电子 机械,五险一金，带薪年假，提供住宿,2026-06-16,2026-06-17,NbaHPyrN6jPoAZDvpAWAmb,0,国家大学生就业服务平台,工程师,硕士及以上,3,8K-12K,基础研发工程师 机械设计及其自动化 机械设计 机械工程 机械电子 机械 五险一金，带薪年假，提供住宿 工程师,机械、设计,制造/工程类,0
设备工程师（储备）,浙江新农化工股份有限公司,台州,浙江,,5000.0,10000.0,7500.0,本科及以上,3,1000-4999人,上市公司,过程控制与自动化 自动化 电气自动化,五险一金，带薪年假，技能培训，通讯津贴，节日礼物,2026-06-16,2026-06-17,9xhqx94uumeg6TuzMyjFxJ,0,国家大学生就业服务平台,工程师,本科及以上,2,5K-8K,设备工程师（储备） 过程控制与自动化 自动化 电气自动化 五险一金，带薪年假，技能培训，通讯津贴，节日礼物 工程师,,制造/工程类,0
研发工程师,浙江神洲药业有限公司,台州,浙江,,5000.0,8000.0,6500.0,本科及以上,10,100-499人,民营企业,制药、化学类相关专业,五险一金，岗位晋升，定期体检，年度旅游，高温补贴，节日礼物，提供住宿，班车接送,2026-06-09,2026-06-09,TfprB5ENcy1E8YWKDvmrH4,0,国家大学生就业服务平台,工程师,本科及以上,2,5K-8K,研发工程师 制药、化学类相关专业 五险一金，岗位晋升，定期体检，年度旅游，高温补贴，节日礼物，提供住宿，班车接送 工程师,,制造/工程类,0
模具工程师,浙江丰瑞模塑科技有限公司,台州,浙江,,3000.0,6000.0,4500.0,不限,1,1-49人,民营企业,材料成型 机械制造,,2026-06-08,2026-06-09,RDn5RmKVDESLom3A659jwr,0,国家大学生就业服务平台,工程师,不限,0,5K以下,模具工程师 材料成型 机械制造  工程师,机械,制造/工程类,0
品质工程师,浙江康华眼镜有限公司,台州,浙江,,5500.0,6500.0,6000.0,本科及以上,1,100-499人,民营企业,机械制造及自动化等相关专业,五险一金，带薪年假，岗位晋升，技能培训，定期体检，绩效奖金，住房补助，通讯津贴，节日礼物，提供住宿,2026-06-08,2026-06-08,DTTnbm1h52LFsjpV7APrhr,0,国家大学生就业服务平台,工程师,本科及以上,2,5K-8K,品质工程师 机械制造及自动化等相关专业 五险一金，带薪年假，岗位晋升，技能培训，定期体检，绩效奖金，住房补助，通讯津贴，节日礼物，提供住宿 工程师,机械,制造/工程类,0
辐射防护技术员/工程师,中核环保产业有限公司,台州,浙江,,4000.0,6000.0,5000.0,专科及以上,10,100-499人,国有企业,核工程 辐射防护 安全管理 质量管理 机械 电气 机电 化工 能源 机电等,五险一金，带薪年假，岗位晋升，定期体检，住房补助，高温补贴，班车接送,2026-06-05,2026-06-05,6yqzsnBLauSMv312XhoUsD,0,国家大学生就业服务平台,工程师,专科及以上,1,5K-8K,辐射防护技术员/工程师 核工程 辐射防护 安全管理 质量管理 机械 电气 机电 化工 能源 机电等 五险一金，带薪年假，岗位晋升，定期体检，住房补助，高温补贴，班车接送 工程师,机械,制造/工程类,0
电控工程师,浙江高宇液压机电有限公司,台州,浙江,,5000.0,10000.0,7500.0,本科及以上,5,100-499人,民营企业,电气类专业；自动化专业；计算机类；机械电子工程,五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物,2026-06-05,2026-06-05,KGFeFhXjenZDvxZmCnWy2x,0,国家大学生就业服务平台,工程师,本科及以上,2,5K-8K,电控工程师 电气类专业；自动化专业；计算机类；机械电子工程 五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物 工程师,机械,制造/工程类,0
质量工程师,浙江高宇液压机电有限公司,台州,浙江,,5000.0,6000.0,5500.0,本科及以上,2,100-499人,民营企业,机械设计制造及其自动化,五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物,2026-06-05,2026-06-05,3VgeKBokuo1pJKwUTgp43v,0,国家大学生就业服务平台,工程师,本科及以上,2,5K-8K,质量工程师 机械设计制造及其自动化 五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物 工程师,机械、设计,制造/工程类,0
机械工程师,浙江高宇液压机电有限公司,台州,浙江,,6000.0,11000.0,8500.0,本科及以上,10,100-499人,民营企业,机械设计制造及其自动化 机械电子工程 机械工程 能源与动力工程,五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物,2026-06-05,2026-06-05,X9LR6vR8DTE4Jv3P8xhEmJ,0,国家大学生就业服务平台,工程师,本科及以上,2,8K-12K,机械工程师 机械设计制造及其自动化 机械电子工程 机械工程 能源与动力工程 五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物 工程师,机械、设计,制造/工程类,0
工艺工程师,浙江高宇液压机电有限公司,台州,浙江,,6000.0,10000.0,8000.0,本科及以上,10,100-499人,民营企业,工业工程 机械设计制造及其自动化 机械工程 机械电子工程,五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物,2026-06-05,2026-06-05,9cYgsygKcQQ2eVC7woatsS,0,国家大学生就业服务平台,工程师,本科及以上,2,8K-12K,工艺工程师 工业工程 机械设计制造及其自动化 机械工程 机械电子工程 五险一金，岗位晋升，技能培训，股权激励，年终奖，专项奖金，绩效奖金，住房补助，高温补贴，节日礼物 工程师,机械、设计,制造/工程类,0
